Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,Monitor,Slim 2TB Portable External Hard Drive,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,Monitor,Desktop,Panasonic In-Ear Headphone,Epson Printer,Fire HD Tablet,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Monitor,Bose Companion Speakers,Laptop,Multi Media Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Koss Home Headphones,Panasonic In-Ear Headphone,Microsoft Office Home and Student 2016,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Printer,Cambridge Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Desktop,Desktop,Cyber Acoustics,Etekcity Power Extension Cord Cable,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,I/O-device,Laptop,Epson Printer,Belkin Mouse Pad,Zombie Gaming Headset,USB Cable,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Desktop,Desktop,Fire TV Stick,Desktop,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,
Apple TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Bose Companion Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Belkin Mouse Pad,Apple Earpods,1TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Monitor,I/O-device,Etekcity Power Extension Cord Cable,,,,,,,,,,,,,,,,,,,,,,,,,,
5TB Desktop Hard Drive,Laptop,Philips Flexible Earhook Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Printer,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Monitor,I/O-device,Belkin Mouse Pad,Fire TV Stick,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,Google Home,Microsoft Office Home and Student 2016,Desktop,Brother Printer,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Koss Home Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Dell 2 Desktop,Monitor,Desktop,I/O-device,Desktop,Microsoft Office Home and Student 2016,Belkin Mouse Pad,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,I/O-device,Redragon Gaming Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Headphones,iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Etekcity Power Extension Cord Cable,Laptop,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Monitor,iPhone Charger Cable,Zombie Gaming Headset,JBL Splashproof Portable Bluetooth Speaker,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon Office Printer,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Black Ink,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,VGA Monitor Cable,Halter Acrylic Monitor Stand,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Computer Game,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Epson Printer,Cambridge Bluetooth Speaker,Microsoft Office Home and Student 2016,Desktop,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Zombie Gaming Headset,USB Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Laptop,iPhone Charger Cable,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Redragon Gaming Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,iPad Pro,DYMO Labeling Tape,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,Monitor,Computer Game,Bose Companion Speakers,Desktop,Apple Earpods,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Smart Light Bulb,Kindle,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Laptop,Desktop,Monitor,Desktop,I/O-device,I/O-device,Monitor,I/O-device,Logitech Multimedia Speakers,Apple Earpods,Laptop,Desktop,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Desktop,Halter Acrylic Monitor Stand,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,Monitor,Laptop,Desktop,Epson Printer,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Ailihen Stereo Headphones,,I/O-device,Halter Acrylic Monitor Stand,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,I/O-device,I/O-device,Multi Media Stand,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Game,Full Motion Monitor Mount,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,Desktop,iPad,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Apple Earpods,Canon Office Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,I/O-device,HP Wireless Printer,Epson Printer,Cyber Acoustics,Belkin Mouse Pad,Logitech ClearChat Headset,Zombie Gaming Headset,USB Cable,,,,,,,,,,,,,,,,,,,,,,
Monitor,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Monitor,HP Wireless Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Cambridge Bluetooth Speaker,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Audio Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Epson Printer,Cambridge Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Laptop,iPhone Charger Cable,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,HP Wireless Printer,Desktop,Logitech ClearChat Headset,DYMO Labeling Tape,Epson Black Ink,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Koss Home Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,HP Wireless Printer,Panasonic In-Ear Headphone,I/O-device,Etekcity Power Extension Cord Cable,I/O-device,Apple Earpods,Monitor,PC Gaming Headset,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Desktop,Cambridge Bluetooth Speaker,Redragon Gaming Mouse,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Bose Companion Speakers,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,HP Wireless Printer,Desktop,Etekcity Power Extension Cord Cable,Laptop,Samsung Charging Cable,Apple Earpods,I/O-device,iPad Pro,I/O-device,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Computer Game,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Sonos,I/O-device,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Kensington Headphones,Laptop,Desktop,I/O-device,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,iPhone Charger Cable,Etekcity Power Extension Cord Cable,Desktop,Smart Light Bulb,Laptop,Computer Game,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Laptop,Laptop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,I/O-device,Desktop,Monitor,Monitor,I/O-device,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Black Ink,Desktop,I/O-device,Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Samsung Galaxy Tablet,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Desktop,Desktop,Monitor,Fire HD Tablet,I/O-device,Fire TV Stick,Halter Acrylic Monitor Stand,Apple Earpods,Desktop,Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,
Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Koss Home Headphones,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,Desktop,Desktop,Epson Black Ink,Google Home,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APIE Bluetooth Headphone,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Desktop,Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Bluetooth Speaker,Monitor,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,Desktop,Redragon Gaming Mouse,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Otium Wireless Sports Bluetooth Headphone,Desktop,Laptop,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Slim 2TB Portable External Hard Drive,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Philips Flexible Earhook Headphone,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,Logitech Stereo Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Dell 2 Desktop,Desktop,Laptop,Apple Earpods,Monitor,Laptop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics,Samsung Charging Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Panasonic In-Ear Headphone,Monitor,Monitor,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Smart Light Bulb,Monitor,I/O-device,Desktop,Monitor,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics,Laptop,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brother Printer Toner,Laptop,iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,Microsoft Office Home and Student 2016,Redragon Gaming Mouse,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,APIE Bluetooth Headphone,Laptop,USB Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HDMI Cable 6ft,Koss Home Headphones,I/O-device,I/O-device,Apple Earpods,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Bose Companion Speakers,Brother Printer Toner,Belkin Mouse Pad,Full Motion Monitor Mount,Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Slim 2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,Apple TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Fire HD Tablet,Redragon Gaming Mouse,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,Monitor,I/O-device,Brother Printer Toner,APIE Bluetooth Headphone,Laptop,I/O-device,Brother Printer,I/O-device,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,HP Wireless Printer,Desktop,I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Slim 2TB Portable External Hard Drive,Microsoft Office Home and Student 2016,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,1TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,Microsoft Office Home and Student 2016,I/O-device,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Black Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell 2 Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Computer Game,HP Black & Tri-color Ink,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,I/O-device,Belkin Mouse Pad,Apple Earpods,Laptop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,
Redragon Gaming Mouse,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,Belkin Mouse Pad,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belkin Mouse Pad,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,HP Wireless Printer,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Kindle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Home and Student 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Sonos,I/O-device,Laptop,Monitor,Brother Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Monitor,I/O-device,iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Cambridge Bluetooth Speaker,Sonos,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Epson Printer,Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Belkin Mouse Pad,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,HDMI Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Desktop,I/O-device,Belkin Mouse Pad,Samsung Charging Cable,Fire TV Stick,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Laptop,Slim 2TB Portable External Hard Drive,Cambridge Bluetooth Speaker,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,Laptop,Apple Earpods,Monitor,Laptop,Samsung Galaxy Tablet,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Monitor,I/O-device,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Desktop,I/O-device,Redragon Gaming Mouse,Laptop,Laptop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,Monitor,I/O-device,Apple Earpods,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Home and Student 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Fire HD Tablet,Computer Game,Laptop,2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,HP Wireless Printer,Desktop,Epson Black Ink,I/O-device,I/O-device,Laptop,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belkin Mouse Pad,iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Monitor,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Koss Home Headphones,Panasonic In-Ear Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Apple Earpods,Laptop,iPad Pro,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etekcity Power Extension Cord Cable,Apple Earpods,Desktop,Laptop,Kindle,I/O-device,iPad,Brother Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,
Large Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,XIBERIA Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,Desktop,I/O-device,I/O-device,Microsoft Headset,Zombie Gaming Headset,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Belkin Mouse Pad,Redragon Gaming Mouse,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,HP Wireless Printer,Laptop,Desktop,I/O-device,Belkin Mouse Pad,Laptop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Ailihen Stereo Headphones,Monitor,Desktop,Monitor,Desktop,Desktop,iPad,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Slim 2TB Portable External Hard Drive,Panasonic In-Ear Headphone,Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Otium Wireless Sports Bluetooth Headphone,HP Wireless Printer,Desktop,I/O-device,Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
